surface_name	phase	site_name	species_name	formation_energy	frequencies	reference	coverage	std
Ag	fcc	(111)	C	2.7083	[]	mhangaard	0.167	0.3359
Ag	fcc	(111)	C	2.94	[]	mhangaard	0.167	0.3129
Ag	fcc	(111)	CH3	-0.9911	[]	mhangaard	0.167	0.2492
Ag	fcc	(111)	CH3	-1.165	[]	mhangaard	0.167	0.2418
Ag	fcc	(111)	H	0.3496	[]	mhangaard	0.167	0.1008
Ag	fcc	(111)	H	0.8071	[]	mhangaard	0.167	0.127
Ag	fcc	(111)	O	1.8854	[]	mhangaard	0.167	0.2481
Ag	fcc	(111)	OH	0.5295	[]	mhangaard	0.167	0.2059
Au	fcc	(111)	C	2.0605	[]	mhangaard	0.167	0.4417
Au	fcc	(111)	CH	0.6152	[]	mhangaard	0.167	0.3428
Au	fcc	(111)	CH3	-1.4498	[]	mhangaard	0.167	0.2394
Au	fcc	(111)	H	0.3914	[]	mhangaard	0.167	0.0995
Au	fcc	(111)	H	0.5167	[]	mhangaard	0.167	0.1071
Au	fcc	(111)	O	2.3984	[]	mhangaard	0.167	0.256
Au	fcc	(111)	OH	1.3748	[]	mhangaard	0.167	0.1639
Co	fcc	(111)	C	-0.3098	[]	mhangaard	0.167	0.2674
Co	fcc	(111)	CH	-1.0507	[]	mhangaard	0.167	0.2201
Co	fcc	(111)	CH2	-1.017	[]	mhangaard	0.167	0.2166
Co	fcc	(111)	CH3	-1.6206	[]	mhangaard	0.167	0.2511
Co	fcc	(111)	CH3	-1.9829	[]	mhangaard	0.167	0.2847
Co	fcc	(111)	H	-0.3601	[]	mhangaard	0.167	0.0788
Co	fcc	(111)	H	0.2462	[]	mhangaard	0.167	0.1121
Co	fcc	(111)	O	-0.0818	[]	mhangaard	0.167	0.2046
Co	fcc	(111)	OH	0.2742	[]	mhangaard	0.167	0.1773
Cu	fcc	(111)	C	1.3104	[]	mhangaard	0.167	0.2954
Cu	fcc	(111)	C	1.4718	[]	mhangaard	0.167	0.2537
Cu	fcc	(111)	CH3	-1.4676	[]	mhangaard	0.167	0.2475
Cu	fcc	(111)	CH3	-1.495	[]	mhangaard	0.167	0.2768
Cu	fcc	(111)	H	-0.061	[]	mhangaard	0.167	0.079
Cu	fcc	(111)	H	0.4795	[]	mhangaard	0.167	0.1011
Cu	fcc	(111)	O	0.7807	[]	mhangaard	0.167	0.2377
Cu	fcc	(111)	OH	0.1491	[]	mhangaard	0.167	0.2096
Fe	fcc	(111)	CH3	-2.3653	[]	mhangaard	0.167	0.4232
Fe	fcc	(111)	H	-0.8167	[]	mhangaard	0.167	0.0662
In	fcc	(111)	CH3	-1.4126	[]	mhangaard	0.167	0.3005
Ir	fcc	(111)	C	-0.9593	[]	mhangaard	0.167	0.4298
Ir	fcc	(111)	C	0.6488	[]	mhangaard	0.167	0.1663
Ir	fcc	(111)	CH3	-1.6579	[]	mhangaard	0.167	0.3267
Ir	fcc	(111)	CH3	-2.1289	[]	mhangaard	0.167	0.2729
Ir	fcc	(111)	H	-0.2207	[]	mhangaard	0.167	0.0979
Ir	fcc	(111)	H	-0.3394	[]	mhangaard	0.167	0.0772
Ir	fcc	(111)	O	0.655	[]	mhangaard	0.167	0.1512
Ir	fcc	(111)	OH	0.4517	[]	mhangaard	0.167	0.1433
Ni	fcc	(111)	C	-0.2412	[]	mhangaard	0.167	0.2495
Ni	fcc	(111)	CH2	-1.1336	[]	mhangaard	0.167	0.211
Ni	fcc	(111)	CH2	-1.2906	[]	mhangaard	0.167	0.2512
Ni	fcc	(111)	CH3	-1.7396	[]	mhangaard	0.167	0.2497
Ni	fcc	(111)	CH3	-1.8551	[]	mhangaard	0.167	0.2942
Ni	fcc	(111)	H	-0.3385	[]	mhangaard	0.167	0.0844
Ni	fcc	(111)	H	0.194	[]	mhangaard	0.167	0.1063
Ni	fcc	(111)	O	0.1946	[]	mhangaard	0.167	0.2077
Ni	fcc	(111)	OH	0.0355	[]	mhangaard	0.167	0.1948
None		gas	CH4	-2.6036	[]	mhangaard	0	0.2572
None		gas	CO	0.0	[]	mhangaard	0	0.0
None		gas	H2	0.0	[]	mhangaard	0	0.0
None		gas	H2O	0.0	[]	mhangaard	0	0.0
Pd	fcc	(111)	C	-0.4665	[]	mhangaard	0.167	0.3877
Pd	fcc	(111)	CH	-1.2158	[]	mhangaard	0.167	0.2987
Pd	fcc	(111)	CH3	-1.5827	[]	mhangaard	0.167	0.26
Pd	fcc	(111)	CH3	-1.9217	[]	mhangaard	0.167	0.2455
Pd	fcc	(111)	H	-0.3267	[]	mhangaard	0.167	0.0782
Pd	fcc	(111)	H	0.092	[]	mhangaard	0.167	0.0994
Pd	fcc	(111)	O	1.2039	[]	mhangaard	0.167	0.2332
Pd	fcc	(111)	OH	0.8507	[]	mhangaard	0.167	0.1801
