Surface ∆EOH∗ ∆EO∗ ∆EOOH∗
Au3In-50%In 0.43 0.61 0.38
Pt3Y-50%Y -0.03 -0.17 0.00
Pt3Nb-50%Nb 0.10 0.08 -0.02
Pt 0.00 0.00 0.00
Au3La-0%La 0.17 0.60 0.14
Pt3Nb-0%Nb -0.09 -0.18 -0.04
Pt3Ta-50%Ta 0.07 0.06 -0.05
Au3Y-0%Y 0.36 0.75 0.34
Pt3V-0%V -0.01 -0.18 0.02
Pt3Ta-75%Ta 0.08 -0.07 -0.04
Pt3V-75%Y 0.14 -0.03 0.05
Pt3Y-0%Y -0.14 -0.09 -0.16
2ML-Pt-on-Rh 0.17 0.01 0.12
Au3Pd-0%Pd 0.65 0.87 0.63
Pt3Ni-75%Ni 0.16 -0.08 0.16
1ML-Pt-on-Rh 0.24 0.09 0.20
Pt3V-50%V 0.16 0.06 0.03
-2%-Pt 0.06 -0.00 -0.02
Au3Ti-0%Ti 0.58 0.86 0.55
-4%-Pt 0.12 0.00 0.05
Au3Zr-0%Zr 0.47 0.86 0.45
Pt3Sc-50%Sc 0.10 -0.19 0.12
Pt3Ta-0%Ta -0.09 -0.18 -0.04
Au3Sc-0%Sc 0.49 0.81 0.46
+2%-Au 0.45 0.81 0.44
+4%-Au 0.42 0.86 0.42
+5%-Au 0.40 0.87 0.40
Ag -0.05 -0.15 -0.06
Au3In-0%In 0.46 0.82 0.44
Au3Hf-0%Hf 0.50 0.86 0.48
Pt3Sc-0%Sc -0.07 -0.10 -0.02
Au 0.48 0.76 0.46
Au3Al-0%Al 0.63 0.87 0.58
Pt3Ni-0%Ni 0.07 -0.05 0.07
