surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
None	gas	pe	0.	None	[]	[]	gas phase calcs
None	gas	O2dl	5.19	None	[]	[]	Hansen 2014
None	gas	H2O2	3.66	None	[]	[]	Hansen 2014
None	gas	H2	0.0	None	[]	[]	Hansen 2014
None	gas	H2O	0.0	None	[]	[]	Hansen 2014
None	gas	O2dlTS	5.66	None	[]	[]	Hansen 2014
None	gas	O2	5.19	None	[]	[]	Hansen 2014
a	a	H2O2	3.3294	fcc	[]	[]	Hansen 2014
a	a	O2	4.81	fcc	[]	[]	Hansen 2014
a	a	O	1.4	fcc	[]	[]	Hansen 2014
a	a	OH	0.6	fcc	[]	[]	Hansen 2014
a	b	OH	0.95	fcc	[]	[]	Hansen 2014
a	b	O	2.03	fcc	[]	[]	Hansen 2014
a	a	OOH	3.8	fcc	[]	[]	Hansen 2014
a	a	H	-0.30015	fcc	[]	[]	Hansen 2014
a	a	OH-O	4.053	fcc	[]	[]	Hansen 2014
a	a	OH-OH	3.732514	fcc	[]	[]	Hansen 2014
a	a	O2-	5.475	fcc	[]	[]	Hansen 2014
a	a	HOOH-	3.944	fcc	[]	[]	Hansen 2014
a	a	O-O	5.0002	fcc	[]	[]	Hansen 2014
a	a	OO-pe	4.84	fcc	[]	[]	Hansen 2014
a	a	OOH-pe	3.83	fcc	[]	[]	Hansen 2014
a	a	O-pe	1.53	fcc	[]	[]	Hansen 2014
a	a	OH-pe	0.93	fcc	[]	[]	Hansen 2014
a	b	O-pe	2.06	fcc	[]	[]	Hansen 2014
a	b	OH-pe	0.98	fcc	[]	[]	Hansen 2014
a	a	O-peOH	4.2594	fcc	[]	[]	Hansen 2014
b	a	H2O2	3.3296	fcc	[]	[]	Hansen 2014
b	a	O2	4.87	fcc	[]	[]	Hansen 2014
b	a	O	1.5	fcc	[]	[]	Hansen 2014
b	a	OH	0.65	fcc	[]	[]	Hansen 2014
