surface_name	site_name	species_name	formation_energy	integral_formation_energy	coverage	coadsorbate_name	coadsorbate_coverage	bulk_structure	frequencies	other_parameters	reference	ensemble_path
None	gas	CH3CH2OH	-0.73	-0.73	0.00	None	0.00	fcc	[3653.0, 2984.0, 2939.0, 2900.0, 1490.0, 1464.0, 1412.0, 1371.0, 1256.0, 1091.0, 1028.0, 888.0, 417.0, 2991.0, 2910.0, 1446.0, 1275.0, 1161.0, 812.0]	[]	/u/if/ajmedfor/nfs/data//dft/molecules/CH3CH2OH/gas/qn/vacuum-10/calc-esp_BEEF_500111_0/converged.log	/u/if/ajmedfor/nfs/data//dft/molecules/CH3CH2OH/gas/bee/vacuum-10/calc-esp_BEEF_500111_ens/CH3CH2OH.bee
None	gas	CH3CHO	-0.52	-0.52	0.00	None	0.00	fcc	[3005.0, 2917.0, 2822.0, 1743.0, 1441.0, 1400.0, 1352.0, 1113.0, 919.0, 509.0, 2967.0, 1420.0, 867.0, 763.0, 150.0]	[]	/u/if/ajmedfor/nfs/data//dft/molecules/CH3CHO/gas/qn/vacuum-10/calc-esp_BEEF_500111_0/converged.log	/u/if/ajmedfor/nfs/data//dft/molecules/CH3CHO/gas/bee/vacuum-10/calc-esp_BEEF_500111_ens/CH3CHO.bee
None	gas	CH3OH	0.0	0.0	0.00	None	0.00	fcc	[3681.0, 3000.0, 2844.0, 1477.0, 1455.0, 1345.0, 1060.0, 1033.0, 2960.0, 1477.0, 1165.0, 200.0]	[]	/u/if/ajmedfor/nfs/data//dft/molecules/CH3OH/gas/qn/vacuum-10/calc-esp_BEEF_500111_0/converged.log	/u/if/ajmedfor/nfs/data//dft/molecules/CH3OH/gas/bee/vacuum-10/calc-esp_BEEF_500111_ens/CH3OH.bee
None	gas	CH4	-0.58	-0.58	0.00	None	0.00	fcc	[2917.0, 1534.0, 1534.0, 3019.0, 3019.0, 3019.0, 1306.0, 1306.0, 1306.0]	[]	/u/if/ajmedfor/nfs/data//dft/molecules/CH4/gas/qn/vacuum-10/calc-esp_BEEF_500111_0/converged.log	/u/if/ajmedfor/nfs/data//dft/molecules/CH4/gas/bee/vacuum-10/calc-esp_BEEF_500111_ens/CH4.bee
None	gas	CO	0.0	0.0	0.00	None	0.00	fcc	[2170.0]	[]	/u/if/ajmedfor/nfs/data//dft/molecules/CO/gas/qn/vacuum-10/calc-esp_BEEF_500111_0/converged.log	/u/if/ajmedfor/nfs/data//dft/molecules/CO/gas/bee/vacuum-10/calc-esp_BEEF_500111_ens/CO.bee
None	gas	H2	0.73	0.73	0.00	None	0.00	fcc	[4401.0]	[]	/u/if/ajmedfor/nfs/data//dft/molecules/H2/gas/qn/vacuum-10/calc-esp_BEEF_500111_0/converged.log	/u/if/ajmedfor/nfs/data//dft/molecules/H2/gas/bee/vacuum-10/calc-esp_BEEF_500111_ens/H2.bee
None	gas	H2O	0.0	0.0	0.00	None	0.00	fcc	[3657.0, 1595.0, 3756.0]	[]	/u/if/ajmedfor/nfs/data//dft/molecules/H2O/gas/qn/vacuum-10/calc-esp_BEEF_500111_0/converged.log	/u/if/ajmedfor/nfs/data//dft/molecules/H2O/gas/bee/vacuum-10/calc-esp_BEEF_500111_ens/H2O.bee
Rh	111	2CO	-3.32	-0.37	0.11	None	0.00	fcc	[]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#2CO-hcp/calc-esp_BEEF_500441_1/Rh_2CO.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#2CO-hcp/calc-esp_BEEF_500441_ens/2CO.bee
Rh	111	3CO	-4.96	-0.55	0.11	None	0.00	fcc	[]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#3CO-hcp/calc-esp_BEEF_500441_1/Rh_3CO.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#3CO-hcp/calc-esp_BEEF_500441_ens/3CO.bee
Rh	111	4CO	-6.37	-0.71	0.11	None	0.00	fcc	[]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#4CO-hcp/calc-esp_BEEF_500441_1/4CO.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#4CO-hcp/calc-esp_BEEF_500441_ens/4CO.bee
Rh	111	5CO	-7.84	-0.87	0.11	None	0.00	fcc	[]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp/calc-esp_BEEF_500441_1/Rh_5CO.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp/calc-esp_BEEF_500441_ens/5CO.bee
Rh	111	C	-0.13	-0.01	0.11	None	0.00	fcc	[465.0, 490.0, 536.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#C-bridge/calc-esp_BEEF_500441_1/Rh_C_bridge.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#C-bridge/calc-esp_BEEF_500441_ens/C.bee
Rh	111	C	0.85	-0.78	0.11	CO	0.55	fcc	[465.0, 490.0, 536.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#C-fcc/calc-esp_BEEF_500441_1/Rh_111_C-fcc.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#C-bridge/calc-esp_BEEF_500441_ens/5CO-hcp+C-bridge.bee
Rh	111	C-CO	-0.6	-0.07	0.11	None	0.00	fcc	[95.0, 258.0, 345.0, 404.0, 498.0, 507.0, 591.0, 1930.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/neb/slab-Rh_111_334#C@CO-ts/calc-esp_BEEF_500441_1/TS.traj	None
Rh	111	C-H	0.9	0.1	0.11	None	0.00	fcc	[56.0, 435.0, 454.0, 511.0, 1203.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/neb/slab-Rh_111_334#C@H-ts/calc-esp_BEEF_500441_1/TS.traj	None
Rh	111	CCH2O	-0.32	-0.04	0.11	None	0.00	fcc	[56.0, 110.0, 238.0, 414.0, 451.0, 470.0, 610.0, 925.0, 934.0, 1062.0, 1096.0, 1257.0, 1413.0, 2898.0, 2976.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CCH2O-br/calc-esp_BEEF_500441_1/Rh_CCH2O-br.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CCH2O-br/calc-esp_BEEF_500441_ens/CCH2O.bee
Rh	111	CCH2O	0.89	-0.77	0.11	CO	0.55	fcc	[56.0, 110.0, 238.0, 414.0, 451.0, 470.0, 610.0, 925.0, 934.0, 1062.0, 1096.0, 1257.0, 1413.0, 2898.0, 2976.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CCH2O-br/calc-esp_BEEF_500441_1/Rh_111_CCH2O-br.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CCH2O-br/calc-esp_BEEF_500441_ens/5CO-hcp+CCH2O-br.bee
Rh	111	CCH2OH	-0.32	-0.91	0.11	CO	0.55	fcc	[56.0, 56.0, 240.0, 301.0, 359.0, 410.0, 427.0, 603.0, 931.0, 970.0, 1032.0, 1165.0, 1288.0, 1420.0, 1491.0, 2957.0, 3037.0, 3668.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CCH2OH-fbr0/calc-esp_BEEF_500441_1/Rh_111_CCH2OH-fbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CCH2OH-sbr0/calc-esp_BEEF_500441_ens/5CO-hcp+CCH2OH-sbr0.bee
Rh	111	CCH2OH	-1.11	-0.12	0.11	None	0.00	fcc	[56.0, 56.0, 240.0, 301.0, 359.0, 410.0, 427.0, 603.0, 931.0, 970.0, 1032.0, 1165.0, 1288.0, 1420.0, 1491.0, 2957.0, 3037.0, 3668.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CCH2OH-fbr0/calc-esp_BEEF_500441_1/Rh_CCH2OH_fbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CCH2OH-fbr0/calc-esp_BEEF_500441_ens/CCH2OH.bee
Rh	111	CCHO	-0.43	-0.92	0.11	CO	0.55	fcc	[56.0, 56.0, 273.0, 313.0, 351.0, 440.0, 653.0, 955.0, 1023.0, 1240.0, 1628.0, 2854.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CCHO-fbr0/calc-esp_BEEF_500441_1/Rh_111_CCHO-fbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CCHO-fbr0/calc-esp_BEEF_500441_ens/5CO-hcp+CCHO-fbr0.bee
Rh	111	CCHO	-1.04	-0.12	0.11	None	0.00	fcc	[56.0, 56.0, 273.0, 313.0, 351.0, 440.0, 653.0, 955.0, 1023.0, 1240.0, 1628.0, 2854.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#CCHO-sbr0/calc-esp_BEEF_500441_1/Rh_CCHO_sbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#CCHO-sbr0/calc-esp_BEEF_500441_ens/CCHO.bee
Rh	111	CCHOH	-0.77	-0.96	0.11	CO	0.55	fcc	[56.0, 175.0, 258.0, 347.0, 405.0, 462.0, 650.0, 712.0, 803.0, 1120.0, 1263.0, 1340.0, 1446.0, 3149.0, 3521.0]	[]	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/qn/slab-Rh_111_334#5CO-hcp#CCHOH-fbr0/calc-esp_BEEF_500441_1/Rh_111_CCHOH-fbr0.traj	/u/if/ajmedfor/nfs/data//dft/metals/Rh/SG225_111/bee/slab-Rh_111_334#5CO-hcp#CCHOH-fbr0/calc-esp_BEEF_500441_ens/5CO-hcp+CCHOH-fbr0.bee
